"year_mon","category_name","state_cost","bottles_sold","retail_revenue","liters_sold"
2012-02-01,"IMPORTED GRAPE BRANDIES",250568.47,25372,375926.81,10588.62
2012-02-01,"AMERICAN COCKTAILS",207249.58,29682,312393.17,43165.71
2012-02-01,"FLAVORED GINS",4832.1,819,7248.15,614.25
2012-02-01,"SINGLE MALT SCOTCH",113695.62,4499,170823.96,3487.26
2012-02-01,"FLAVORED RUM",269641.06,31618,404875.13,27749.41
2012-02-01,"SPICED RUM",982866.5,100373,1474437.99,104045.76
2012-02-01,"IMPORTED VODKA",664926.96,50590,996873.22,47193.42
2012-02-01,"VODKA FLAVORED",345303.37,46467,518567.94,39181.38
2012-02-01,"100 PROOF VODKA",68865.85,12338,103329.44,14163
2012-02-01,"ROCK & RYE",1311.38,266,1965.74,199.5
2012-02-01,"AMERICAN AMARETTO",38527.96,9260,57799.29,8517.75
2012-02-01,"SINGLE BARREL BOURBON WHISKIES",8099.02,454,12148.46,340.5
2012-02-01,"IMPORTED SCHNAPPS",309008.3,27580,463430.19,26250.99
2012-02-01,"SPEARMINT SCHNAPPS",1813.81,433,2720.92,384
2012-02-01,"OTHER PROOF VODKA",1902.12,242,2853.18,181.5
2012-02-01,"PUERTO RICO & VIRGIN ISLANDS RUM",423044.42,61606,639089.45,65419.72
2012-02-01,"WHITE CREME DE MENTHE",754.8,170,1132.2,127.5
2012-02-01,"CREME DE ALMOND",0,103,0,77.25
2012-02-01,"STRAIGHT BOURBON WHISKIES",559672.04,57388,844236.02,55264.34
2012-02-01,"BLENDED WHISKIES",388317.87,64877,582370.89,64455.32
2012-02-01,"PEACH BRANDIES",0,608,0,456
2012-02-01,"CINNAMON SCHNAPPS",30978.24,4183,46456.11,3630.34
2012-02-01,"TRIPLE SEC",32013.39,12602,47982.37,12359.25
2012-02-01,"PEACH SCHNAPPS",60897.59,9617,91324.29,8994.09
2012-02-01,"VODKA 80 PROOF",1210758.16,241805,1820443.85,242171.03
2012-02-01,"MISCELLANEOUS SCHNAPPS",21453.43,2879,32173.62,2515
2012-02-01,"RASPBERRY SCHNAPPS",8094.31,1492,12141.92,1289.5
2012-02-01,"AMERICAN SLOE GINS",284.04,689,426.24,594.5
2012-02-01,"DECANTERS & SPECIALTY PACKAGES",10134.83,557,15224.43,669.74
2012-02-01,"APPLE SCHNAPPS",37735.27,5478,56586.03,4955.52
2012-02-01,"TROPICAL FRUIT SCHNAPPS",7010.48,1520,10512.4,1354.5
2012-02-01,"GRAPE SCHNAPPS",20703.9,2876,31043.54,2772.5
2012-02-01,"COFFEE LIQUEURS",97678.91,9210,148253.02,7731.02
2012-02-01,"CHERRY BRANDIES",1974.04,1597,2961.66,1138.49
2012-02-01,"WHISKEY LIQUEUR",305248.05,32753,457854.27,27388.5
2012-02-01,"TEQUILA",639383.36,60365,959983.64,50087.59
2012-02-01,"DARK CREME DE CACAO",817.28,841,1225.06,633.75
2012-02-01,"JAMAICA RUM",11250.52,1103,16883.03,929.75
2012-02-01,"AMERICAN DRY GINS",181738.74,40959,272674.67,30987.11
2012-02-01,"GREEN CREME DE MENTHE",798.86,572,1197.44,432
2012-02-01,"PEPPERMINT SCHNAPPS",59796.04,14200,89806.99,12848.69
2012-02-01,"BUTTERSCOTCH SCHNAPPS",29106.59,4824,43648.24,4124.05
2012-02-01,"ROOT BEER SCHNAPPS",10296.12,1863,15436.21,1765.75
2012-02-01,"SCOTCH WHISKIES",233240.41,18282,350798.03,20490.65
2012-02-01,"STRAIGHT RYE WHISKIES",132569.24,8228,198928.17,5689.88
2012-02-01,"BARBADOS RUM",4672.98,428,7009.86,322.57
2012-02-01,"APRICOT BRANDIES",8306.73,5015,12466.34,3332.7
2012-02-01,"CANADIAN WHISKIES",1716681.18,197349,2605115.75,233692.62
2012-02-01,"ANISETTE",616.95,135,926.1,101.25
2012-02-01,"MISC. AMERICAN CORDIALS & LIQUEURS",274696.29,30064,412028.9,22061.72
2012-02-01,"BOTTLED IN BOND BOURBON",5811.06,284,8716.24,225
2012-02-01,NA,5778.54,292,9044.06,219
2012-02-01,"MISCELLANEOUS  BRANDIES",3457.89,291,5186.79,218.25
2012-02-01,"AMERICAN GRAPE BRANDIES",158452.18,41970,237679.27,20239.74
2012-02-01,"STRAWBERRY SCHNAPPS",7762.29,1697,11637.15,1272.75
2012-02-01,"WATERMELON SCHNAPPS",20799.45,2924,31187.85,2759.25
2012-02-01,"MISC. IMPORTED CORDIALS & LIQUEURS",466860.11,35245,702068.8,28045.44
2012-02-01,"WHITE CREME DE CACAO",937.81,660,1405.72,498
2012-02-01,"TENNESSEE WHISKIES",516006.56,38468,774423.6,31040.48
2012-02-01,"IMPORTED AMARETTO",27972.03,2297,43059.29,1703.65
2012-02-01,"LOW PROOF VODKA",191.85,15,287.85,11.25
2012-02-01,"BLACKBERRY BRANDIES",15136.34,8210,22701.73,7126.63
2012-02-01,"AMERICAN ALCOHOL",24317.26,2998,36476.04,2278.5
2012-02-01,"IMPORTED DRY GINS",140191.97,9651,210099.15,9046.09
2012-02-01,"DISTILLED SPIRITS SPECIALTY",51279.28,10661,76928.32,10545.5
2012-02-01,"CREAM LIQUEURS",300697.99,25502,453994.9,21060.04
2012-02-01,"IRISH WHISKIES",194202.39,13229,294451.55,11405.81
2012-02-01,"IMPORTED VODKA - MISC",296932.01,25923,446469.11,20453.41
2012-03-01,"PEACH SCHNAPPS",67531.4,10327,101270.28,9581.02
2012-03-01,"AMERICAN SLOE GINS",2719.3,619,4078.66,539.5
2012-03-01,"SINGLE BARREL BOURBON WHISKIES",7346.74,421,11091.64,315.75
2012-03-01,"SPICED RUM",958849.1,102822,1439274.54,100730.78
2012-03-01,"VODKA FLAVORED",399056.28,54506,600785.67,46232.8
2012-03-01,"APPLE SCHNAPPS",46857.36,6841,70266.75,6120.13
2012-03-01,"MISC. IMPORTED CORDIALS & LIQUEURS",503032.92,39119,757179.59,30503.69
2012-03-01,"PUERTO RICO & VIRGIN ISLANDS RUM",480284.77,66481,724414.18,72127.86
2012-03-01,"GRAPE SCHNAPPS",24420.9,3400,36617.06,3264.5
2012-03-01,"DECANTERS & SPECIALTY PACKAGES",21580.33,1907,32371.66,1344.5
2012-03-01,"CREAM LIQUEURS",390132.21,33073,587935.98,26890.34
2012-03-01,"IMPORTED GRAPE BRANDIES",248713.35,24853,373441.34,10474.26
2012-03-01,"TENNESSEE WHISKIES",612031.63,43786,918328.77,37069.31
2012-03-01,"SCOTCH WHISKIES",229811.89,17746,345501.87,19838.69
2012-03-01,"AMERICAN GRAPE BRANDIES",161356.7,43537,242036.49,20691.14
2012-03-01,"ROCK & RYE",1139.19,231,1707.81,173.25
2012-03-01,"IMPORTED DRY GINS",154070.76,10735,231711.51,9979.04
2012-03-01,NA,4314.51,191,6472.69,143.25
2012-03-01,"LOW PROOF VODKA",358.12,28,537.32,21
2012-03-01,"TEQUILA",678210.48,61017,1017212.56,50492.63
2012-03-01,"SPEARMINT SCHNAPPS",1624.51,383,2437.45,352.25
2012-03-01,"MISCELLANEOUS SCHNAPPS",21709.01,2833,32559.17,2438.75
2012-03-01,"CREME DE ALMOND",252.51,57,379.05,42.75
2012-03-01,"RASPBERRY SCHNAPPS",8250.87,1526,12377.52,1329
2012-03-01,"FLAVORED RUM",310359.82,37038,466037.69,32388.16
2012-03-01,"TRIPLE SEC",33208.82,12930,49777.79,12615
2012-03-01,"IMPORTED SCHNAPPS",310418.66,27069,465536.57,25829.3
2012-03-01,"ROOT BEER SCHNAPPS",12320.68,2377,18893.89,2248
2012-03-01,"OTHER PROOF VODKA",2692.86,347,4039.29,260.25
2012-03-01,"STRAWBERRY SCHNAPPS",7964.65,1684,11941.3,1263
2012-03-01,"BLACKBERRY BRANDIES",37353.64,6565,56034.08,5772.88
2012-03-01,"BOTTLED IN BOND BOURBON",6071.45,304,9514.44,228
2012-03-01,"TROPICAL FRUIT SCHNAPPS",6747.32,1454,10117.9,1301.25
2012-03-01,"AMERICAN DRY GINS",195765.99,44494,293882.81,33208.82
2012-03-01,"GREEN CREME DE MENTHE",5927.45,1340,8888.96,1005
2012-03-01,"AMERICAN AMARETTO",35768.81,8625,53659.31,7975.5
2012-03-01,"BLENDED WHISKIES",406324.7,68008,609383.33,67584.26
2012-03-01,"STRAIGHT BOURBON WHISKIES",547515.11,54563,825014.28,53286.34
2012-03-01,"WATERMELON SCHNAPPS",20131.65,2827,30186.42,2673
2012-03-01,"DISTILLED SPIRITS SPECIALTY",62448.29,12943,93667.77,12804.5
2012-03-01,"CINNAMON SCHNAPPS",28106.34,3840,42238.49,3221.07
2012-03-01,"WHITE CREME DE MENTHE",1019.58,230,1529.37,172.5
2012-03-01,"DARK CREME DE CACAO",2362.53,535,3543.3,401.25
2012-03-01,"PEACH BRANDIES",2735.25,525,4105.5,393.75
2012-03-01,"JAMAICA RUM",12947.41,1298,19430.27,1060
2012-03-01,"BUTTERSCOTCH SCHNAPPS",27478.83,4391,41207.23,3762.65
2012-03-01,"WHITE CREME DE CACAO",2924.39,661,4385.54,495.75
2012-03-01,"AMERICAN ALCOHOL",24562.18,3109,36843.51,2296.35
2012-03-01,"IMPORTED AMARETTO",17596.14,1452,27084.5,1069.52
2012-03-01,"MISCELLANEOUS  BRANDIES",1781.55,133,2672.45,99.75
2012-03-01,"PEPPERMINT SCHNAPPS",61759.39,13650,92652.09,12304.16
2012-03-01,"APRICOT BRANDIES",19428.76,4074,29149.9,2867.2
2012-03-01,"100 PROOF VODKA",78285.18,13590,117455.72,16090
2012-03-01,"IMPORTED VODKA - MISC",307184.42,27048,463130.84,21259.27
2012-03-01,"CHERRY BRANDIES",7070.62,1417,10609.47,1013.99
2012-03-01,"CANADIAN WHISKIES",1175205.52,135759,1763504,136212.98
2012-03-01,"SINGLE MALT SCOTCH",101346.07,4205,153020.94,3320.11
2012-03-01,"FLAVORED GINS",4698.94,791,7048.41,599.25
2012-03-01,"AMERICAN COCKTAILS",263760.15,36894,395805.44,54116.74
2012-03-01,"COFFEE LIQUEURS",93018.47,8181,137816.77,7028.37
2012-03-01,"STRAIGHT RYE WHISKIES",124745.69,7252,187182.63,5373.01
2012-03-01,"BARBADOS RUM",2920.36,365,4491.1,273.75
2012-03-01,"IRISH WHISKIES",192641.08,12946,289803.48,11073.6
2012-03-01,"IMPORTED VODKA",672413.82,50761,1009743.7,45134.79
2012-03-01,"MISC. AMERICAN CORDIALS & LIQUEURS",143725.35,16836,215812.26,12183.25
2012-03-01,"VODKA 80 PROOF",1352455.36,265474,2030627.68,270058.81
2012-03-01,"AMARETTO - IMPORTED",1867.8,60,2802,45
2012-03-01,"ANISETTE",475.28,104,713.44,78
2012-03-01,"WHISKEY LIQUEUR",312998.22,32719,469897.48,28218.43
2012-04-01,"BOTTLED IN BOND BOURBON",11627.88,524,17441.44,399
2012-04-01,"CREME DE ALMOND",463.22,106,695.18,79.5
2012-04-01,"TENNESSEE WHISKIES",676923.33,48786,1015255.04,40752.44
2012-04-01,"SINGLE BARREL BOURBON WHISKIES",5472.3,330,8208.17,247.5
2012-04-01,"DARK CREME DE CACAO",2521.74,572,3781.92,429
2012-04-01,"BLENDED WHISKIES",405618.32,68737,610239.95,68390.24
2012-04-01,"MISC. AMERICAN CORDIALS & LIQUEURS",245293.29,26864,367925.04,19564.41
2012-04-01,"SPICED RUM",1084937.17,109359,1632243.25,110749.98
2012-04-01,"IMPORTED DRY GINS",191844.59,13304,288318.51,12597.16
2012-04-01,"PEACH BRANDIES",3006.17,577,4512.14,432.75
2012-04-01,"IRISH WHISKIES",103205.58,6786,154831.22,5893.17
2012-04-01,"AMERICAN ALCOHOL",26855.9,3395,40284.09,2510.85
2012-04-01,"BARBADOS RUM",2165.88,238,3248.82,178.5
2012-04-01,"IMPORTED GRAPE BRANDIES",248214.38,25412,372291.96,10406.96
2012-04-01,"DISTILLED SPIRITS SPECIALTY",46928.26,9039,70659.63,8793
2012-04-01,"MISCELLANEOUS SCHNAPPS",20965.36,2737,31442.66,2363
2012-04-01,"IMPORTED VODKA",785114.41,58974,1180885.38,55853.45
2012-04-01,"MISC. IMPORTED CORDIALS & LIQUEURS",565053.07,41884,847832.27,33861.27
2012-04-01,"AMERICAN COCKTAILS",503684.8,68010,766904.15,103471.89
2012-04-01,"COFFEE LIQUEURS",90609.25,8140,135946.44,6930.05
2012-04-01,NA,5681.34,280,8898.26,210
2012-04-01,"BLACKBERRY BRANDIES",39744.5,6999,59714.8,6178.28
2012-04-01,"VODKA FLAVORED",526219.6,72307,795521.07,60913.47
2012-04-01,"AMERICAN AMARETTO",35197.22,8518,52804.86,7898
2012-04-01,"FLAVORED GINS",6159.6,1044,9239.4,783
2012-04-01,"APRICOT BRANDIES",20791.13,4337,31193.6,3066.54
2012-04-01,"CHERRY BRANDIES",6910.21,1414,10367.74,981.35
2012-04-01,"DECANTERS & SPECIALTY PACKAGES",21319.05,1726,31981.26,1094.04
2012-04-01,"ROCK & RYE",803.59,163,1204.57,122.25
2012-04-01,"SINGLE MALT SCOTCH",101085.01,3989,151850.36,3124.26
2012-04-01,"TROPICAL FRUIT SCHNAPPS",6470.52,1371,9702.93,1230.5
