"year_mon","type","category","state_cost","retail_revenue","bottles_sold","liters_sold"
2016-02-01,"gin","american dry gins",161423.57,242235.44,34314,27377.03
2016-02-01,"brandy","american grape brandies",173216.24,259875.69,43321,20543.79
2016-02-01,"gin","american sloe gins",2283.2,3424.8,436,413.5
2016-02-01,"liqueur","anisette",112.5,168.75,25,18.75
2016-02-01,"schnapps","apple schnapps",22079.13,33131.68,2909,2793.9
2016-02-01,"brandy","apricot brandies",25201.68,37819.66,5168,3380.19
2016-02-01,"rum","barbados rum",4751.66,7127.79,428,321
2016-02-01,"brandy","blackberry brandies",42489.89,63746.87,6874,6386.25
2016-02-01,"whiskey","blended whiskies",424817.56,637316.04,71085,66527.3
2016-02-01,"whiskey","bottled in bond bourbon",1423.51,2136.11,157,129.75
2016-02-01,"schnapps","butterscotch schnapps",23097.68,34656.77,3377,2955.5
2016-02-01,"whiskey","canadian whiskies",2360535.9,3585538.45,264502,317158.86
2016-02-01,"brandy","cherry brandies",6429.78,9644.67,1166,889.5
2016-02-01,"schnapps","cinnamon schnapps",15161.76,22748.75,1937,1738.25
2016-02-01,"liqueur","coffee liqueurs",84794.41,127490.04,7506,6376.49
2016-02-01,"whiskey","corn whiskies",3473.37,5211.02,193,144.75
2016-02-01,"liqueur","cream liqueurs",281084.28,421673.72,23528,19757.2
2016-02-01,"liqueur","creme de almond",872.82,1309.41,167,134.25
2016-02-01,"liqueur","dark creme de cacao",2859.5,4292.26,602,451.5
2016-02-01,"other","decanters & specialty packages",32367.73,48560.45,2090,1566.9
2016-02-01,"other","distilled spirits specialty",82684.09,124058.91,14468,13896.24
2016-02-01,"gin","flavored gins",5967.98,8956.36,902,700.5
2016-02-01,"rum","flavored rum",258486.07,387822.78,29332,25799
2016-02-01,"schnapps","grape schnapps",18440.47,27671.36,2396,2329.75
2016-02-01,"liqueur","green creme de menthe",2705.5,4060.34,578,433.5
2016-02-01,"liqueur","imported amaretto",69.6,104.4,6,4.5
2016-02-01,"gin","imported dry gins",164282.04,246437.83,10724,10170.84
2016-02-01,"brandy","imported grape brandies",134812.71,202259.94,11482,4961.51
2016-02-01,"schnapps","imported schnapps",249176.75,373814.75,21259,19479.05
2016-02-01,"vodka","imported vodka",645791.04,968833.88,46892,44558.81
2016-02-01,"vodka","imported vodka - misc",319690.04,479633.46,28374,19766.1
2016-02-01,"whiskey","irish whiskies",390368.69,585645.64,22856,18976.2
2016-02-01,"rum","jamaica rum",16289.56,24434.28,1423,1256
2016-02-01,"whiskey","japanese whisky",31471.02,47211.48,1094,820.5
2016-02-01,"liqueur","misc. american cordials & liqueurs",35864.57,53809.37,4729,3506.59
2016-02-01,"liqueur","misc. imported cordials & liqueurs",343834.57,516396.62,26262,20138.41
2016-02-01,"brandy","miscellaneous  brandies",7898.54,11849.45,1320,745.95
2016-02-01,"schnapps","miscellaneous schnapps",24822.04,37243.95,4401,2727.8
2016-02-01,"vodka","other proof vodka",2506.14,3760.81,320,363
2016-02-01,"brandy","peach brandies",13388.89,20087.28,3196,1600.72
2016-02-01,"schnapps","peach schnapps",62543.44,93841.32,8980,8403.29
2016-02-01,"schnapps","peppermint schnapps",117711.08,176655.72,19029,16465.09
2016-02-01,"rum","puerto rico & virgin islands rum",384674.91,577049.64,52666,56733.45
2016-02-01,"schnapps","raspberry schnapps",6358.7,9538.44,1098,956
2016-02-01,"cocktail","rock & rye",2367.45,3552,313,234.75
2016-02-01,"schnapps","root beer schnapps",7763.98,11647.24,1268,1209.25
2016-02-01,"whiskey","scotch whiskies",239025.47,358969.36,16007,17728.17
2016-02-01,"whiskey","single barrel bourbon whiskies",30779.51,46171.78,1275,956.25
2016-02-01,"whiskey","single malt scotch",134574.2,201868.45,4191,3224.4
2016-02-01,"schnapps","spearmint schnapps",1830,2745,366,366
2016-02-01,"rum","spiced rum",1191519.11,1787472.95,116689,116792.15
2016-02-01,"whiskey","straight bourbon whiskies",732175.03,1099185.69,64342,58690.19
2016-02-01,"whiskey","straight rye whiskies",91181.27,136790.52,5326,3994.5
2016-02-01,"schnapps","strawberry schnapps",5282.75,7927,980,735
2016-02-01,"whiskey","tennessee whiskies",683692.78,1025649.6,46299,36512.07
2016-02-01,"tequila","tequila",837967.3,1257055.64,73527,60232.49
2016-02-01,"other","triple sec",46704.27,70081.11,16343,15061.03
2016-02-01,"schnapps","tropical fruit schnapps",3479.84,5221.74,674,620.5
2016-02-01,"vodka","vodka 80 proof",1460089.43,2191668.05,282674,279009.08
2016-02-01,"vodka","vodka flavored",376567.73,564948.23,54201,42613.36
2016-02-01,"schnapps","watermelon schnapps",21720.2,32591.95,2867,2732.75
2016-02-01,"whiskey","whiskey liqueur",882824.68,1324538.45,110379,79670.36
2016-02-01,"liqueur","white creme de cacao",2407.99,3614,510,385.5
2016-02-01,"unknown",NA,492666.99,739101.76,41710,27609.57
2016-03-01,"vodka","100 proof vodka",11604.16,17406.36,1150,975.5
2016-03-01,"liqueur","amaretto - imported",373.56,560.4,12,9
2016-03-01,"other","american alcohol",20829.58,31245.78,2362,1771.5
2016-03-01,"liqueur","american amaretto",29855.28,44801.82,6943,6519
2016-03-01,"cocktail","american cocktails",245837.92,368779.49,33566,48737.8
2016-03-01,"gin","american dry gins",193327.08,290116.22,42599,31316.58
2016-03-01,"brandy","american grape brandies",189952.2,284988.57,48464,22480.54
2016-03-01,"gin","american sloe gins",2210.38,3315.57,427,398.75
2016-03-01,"liqueur","anisette",207,310.56,44,33
