"year_mon","type","category","state_cost","retail_revenue","bottles_sold","liters_sold"
2017-02-01,"gin","american sloe gins",1186.98,1780.47,219,219
2017-02-01,"vodka","american vodka",1164.6,1998.78,94,75.02
2017-02-01,"vodka","american vodkas",2336328.7,3530797.77,379096,369408.65
2017-02-01,"whiskey","blended whiskies",382213.38,571868.62,64170,59419.53
2017-02-01,"whiskey","bottled in bond bourbon",3845.04,5702.76,337,282.75
2017-02-01,"whiskey","canadian whiskies",2536013.17,3705523.54,260611,316653.43
2017-02-01,"cocktail","cocktails / rtd",150.32,187.4,14,13.75
2017-02-01,"cocktail","cocktails /rtd",202545.77,304145.35,27019,42065.25
2017-02-01,"liqueur","coffee liqueurs",70597.34,104806.49,6227,5231.22
2017-02-01,"whiskey","corn whiskies",4632.93,7585.88,240,180
2017-02-01,"liqueur","cream liqueurs",259888.45,387451.61,21265,19377.08
2017-02-01,"gin","flavored gin",5020.27,7533.56,681,505.15
2017-02-01,"rum","flavored rum",261439.24,392571.93,30222,26281.1
2017-02-01,"rum","gold rum",52181.31,78706.93,6486,7388.86
2017-02-01,"brandy","imported brandies",493149.88,718071.28,42627,17360.12
2017-02-01,"liqueur","imported cordials & liqueur",309,463.5,24,18
2017-02-01,"liqueur","imported cordials & liqueurs",363273.61,538007.34,26116,20045.79
2017-02-01,"other","imported distilled spirit specialty",59550.06,87339.99,12222,12192.5
2017-02-01,"other","imported distilled spirits specialty",1385,1959.69,44,33
2017-02-01,"gin","imported dry gins",157548.79,236553.44,9986,9733
2017-02-01,"vodka","imported flavored vodka",275869.83,423839.89,24070,17652.66
2017-02-01,"schnapps","imported schnapps",218584.73,327364.35,18697,17288.12
2017-02-01,"vodka","imported vodka",54329.36,82071.38,3755,6561.1
2017-02-01,"vodka","imported vodkas",687615.28,1048959.63,53800,55325.29
2017-02-01,"other","iowa distilleries",10229,15345.64,448,336
2017-02-01,"whiskey","iowa distillery whiskies",47.75,429.78,2,1.5
2017-02-01,"whiskey","irish whiskies",437688.29,638195.69,25400,21588.17
2017-02-01,"other","mezcal",3961.96,5942.94,242,181.5
2017-02-01,"tequila","mixto tequila",401076.33,578805.78,44964,38696.25
2017-02-01,"other","neutral grain spirits",19136.88,28655.51,2162,1621.5
2017-02-01,"other","neutral grain spirits flavored",10286.06,15429.09,901,675.75
2017-02-01,"whiskey","scotch whiskies",224384.46,337171.67,15371,17393.85
2017-02-01,"whiskey","single barrel bourbon whiskies",17066.35,25976.91,889,666.75
2017-02-01,"whiskey","single malt scotch",142594.17,210497.29,4577,3552.08
2017-02-01,"other","special order items",73101.13,109244.76,5597,4325.45
2017-02-01,"rum","spiced rum",1083064.88,1624243.67,101952,104891.44
2017-02-01,"whiskey","straight bourbon whiskies",787047.28,1170712.41,66758,59465.25
2017-02-01,"whiskey","straight rye whiskies",110550.35,164825.51,6025,4583.5
2017-02-01,"other","temporary & specialty packages",30346.92,45355.9,2461,1830.82
2017-02-01,"whiskey","tennessee whiskies",670802.87,1001050.68,42875,34561.96
2017-02-01,"other","triple sec",36089.13,54156.56,13392,13213.5
2017-02-01,"whiskey","whiskey liqueur",679165.47,1020882.66,68267,59947.18
2017-02-01,"rum","white rum",273534.29,410396.09,38203,40789.52
2017-02-01,"unknown",NA,18502.62,28447.19,1031,786.61
2017-03-01,"tequila","100% agave tequila",518391.95,775901.28,29190,20821.37
2017-03-01,"rum","aged dark rum",27318.54,39948.26,2325,2009.75
2017-03-01,"brandy","american brandies",267822.61,400513.84,61910,33167.48
2017-03-01,"liqueur","american cordials & liqueur",193564.85,289291.94,86662,23350.76
2017-03-01,"liqueur","american cordials & liqueurs",1071.36,1607.28,144,108
2017-03-01,"other","american distilled spirit specialty",9384.66,14614.87,941,657
2017-03-01,"other","american distilled spirits specialty",13.5,20.25,1,0.75
2017-03-01,"gin","american dry gins",176607.6,265153.29,36526,28511.58
2017-03-01,"vodka","american flavored vodka",512213.27,763424.51,78839,55953.75
2017-03-01,"schnapps","american schnapps",312132.03,462668.25,48667,43866.79
2017-03-01,"gin","american sloe gins",1810.28,2707.29,334,334
2017-03-01,"vodka","american vodka",115.8,173.76,12,9
2017-03-01,"vodka","american vodkas",2085274.89,3114111.2,388354,355467.14
2017-03-01,"whiskey","blended whiskies",452015.51,676410.87,73588,68904.56
2017-03-01,"whiskey","bottled in bond bourbon",3670.44,5442.42,327,245.25
2017-03-01,"whiskey","canadian whiskies",1799396.08,2685797.13,194190,183747.87
2017-03-01,"cocktail","cocktails /rtd",303340.84,488915.61,41631,66469.94
2017-03-01,"liqueur","coffee liqueurs",102691.76,152819.62,8627,7636.86
2017-03-01,"whiskey","corn whiskies",9726.68,16443.98,785,588.75
2017-03-01,"liqueur","cream liqueurs",330719.24,489943.71,27111,22787.42
2017-03-01,"gin","flavored gin",5570.52,8359.02,726,544.5
2017-03-01,"rum","flavored rum",366722.36,550619.31,41107,36776.56
2017-03-01,"rum","gold rum",71147.28,106932.67,8354,9793.71
2017-03-01,"brandy","imported brandies",624704.02,909037.72,53517,21783.74
2017-03-01,"liqueur","imported cordials & liqueur",794.4,1191.72,66,49.5
2017-03-01,"liqueur","imported cordials & liqueurs",445732.7,661928.76,32087,24791.64
2017-03-01,"other","imported distilled spirit specialty",65996.87,96279.11,13281,13236
2017-03-01,"other","imported distilled spirits specialty",508.26,717.24,18,13.5
2017-03-01,"gin","imported dry gins",178463.18,267853.71,11548,11001.2
2017-03-01,"vodka","imported flavored vodka",338074.65,520496.36,29970,22041.66
2017-03-01,"schnapps","imported schnapps",265803.97,398049.76,22735,20947.37
2017-03-01,"vodka","imported vodka",225,337.5,18,13.5
2017-03-01,"vodka","imported vodkas",927937.25,1406579.13,80621,66790.09
2017-03-01,"other","iowa distilleries",9771,14658.62,429,321.75
2017-03-01,"whiskey","irish whiskies",525929.57,773192.57,29705,26411.19
2017-03-01,"other","mezcal",6310.68,9616.02,364,273
2017-03-01,"tequila","mixto tequila",461343.18,662844.84,51958,45404.08
2017-03-01,"other","neutral grain spirits",22964.07,34501.48,2595,1946.25
2017-03-01,"other","neutral grain spirits flavored",12332.46,18498.69,1082,811.5
2017-03-01,"whiskey","scotch whiskies",256762.61,386572.84,17103,19505.59
2017-03-01,"whiskey","single barrel bourbon whiskies",17699.84,27076.02,900,678.15
2017-03-01,"whiskey","single malt scotch",139057.07,204963.84,4743,3670.87
2017-03-01,"other","special order items",54348.76,80938.28,3325,2520.13
2017-03-01,"rum","spiced rum",1275261.51,1913210.39,123533,123999.17
2017-03-01,"whiskey","straight bourbon whiskies",1018208.31,1519560.86,83531,76623.04
2017-03-01,"whiskey","straight rye whiskies",108741.05,162192.38,6320,4765.75
2017-03-01,"other","temporary & specialty packages",37621.95,56769.19,2288,1983.63
2017-03-01,"whiskey","tennessee whiskies",723918.97,1078416.55,47441,37222.38
2017-03-01,"other","triple sec",43114.99,64699.99,16088,15822.25
2017-03-01,"whiskey","whiskey liqueur",812752.66,1223022.72,82059,72137.62
2017-03-01,"rum","white rum",370242.52,555537.69,48026,52453.65
2017-03-01,"unknown",NA,35456.09,54209.33,1597,1165.6
2017-04-01,"tequila","100% agave tequila",599193.1,898798.67,35456,25418.21
2017-04-01,"rum","aged dark rum",22676.98,33193.79,2058,1678.75
2017-04-01,"brandy","american brandies",242539.92,362705.03,56098,30121.04
2017-04-01,"liqueur","american cordials & liqueur",179611.74,268998.27,80320,21071.36
2017-04-01,"liqueur","american cordials & liqueurs",103.92,155.88,12,9
2017-04-01,"other","american distilled spirit specialty",9629.08,14727.18,1030,720.75
2017-04-01,"other","american distilled spirits specialty",1618.92,2735.88,54,40.5
2017-04-01,"gin","american dry gins",170052.85,254597.66,35756,27661.97
2017-04-01,"vodka","american flavored vodka",478232.72,713531.37,71342,52942.39
2017-04-01,"schnapps","american schnapps",244503.67,362200.63,38843,34853.62
2017-04-01,"gin","american sloe gins",1869.9,2804.85,345,345
2017-04-01,"vodka","american vodka",319.8,479.76,13,9.6
2017-04-01,"vodka","american vodkas",2188569.46,3264191.55,381809,359355.06
2017-04-01,"whiskey","blended whiskies",385877.13,578336.92,64454,58249.69
2017-04-01,"whiskey","bottled in bond bourbon",4061.88,6030.18,375,281.25
2017-04-01,"whiskey","canadian whiskies",1565938.99,2331777.5,169593,159552.68
2017-04-01,"cocktail","cocktails / rtd",56.44,78.12,13,22
2017-04-01,"cocktail","cocktails /rtd",550873.24,824059.8,70761,116617.62
2017-04-01,"liqueur","coffee liqueurs",66152.08,98534.22,5832,4895.16
2017-04-01,"whiskey","corn whiskies",17366.03,26476.36,1406,1054.5
2017-04-01,"liqueur","cream liqueurs",197011.61,293065.33,16551,13775.56
2017-04-01,"gin","flavored gin",4604.89,6910.64,679,509.25
2017-04-01,"rum","flavored rum",322788.45,485357.56,36683,32906.41
2017-04-01,"rum","gold rum",56680.51,85175.37,7315,8302.31
2017-04-01,"brandy","imported brandies",499012.93,728301.45,41945,17005.78
2017-04-01,"liqueur","imported cordials & liqueur",338.16,507.36,24,18
2017-04-01,"liqueur","imported cordials & liqueurs",385626.81,572128.92,28223,21358.01
2017-04-01,"other","imported distilled spirit specialty",64755.9,95488.38,13264,13183.25
2017-04-01,"gin","imported dry gins",212819.34,319658.59,13491,13021.77
2017-04-01,"vodka","imported flavored vodka",328707.79,503764.84,30104,21426.79
2017-04-01,"schnapps","imported schnapps",246380.21,369035.58,21036,19816.1
2017-04-01,"vodka","imported vodkas",684454.67,1039456.33,55009,51988.07
2017-04-01,"other","iowa distilleries",9680.75,14523.15,424,318
2017-04-01,"whiskey","iowa distillery whiskies",5964.84,8948.52,252,189
2017-04-01,"whiskey","irish whiskies",231953.91,341947.42,13214,11572.19
2017-04-01,"other","mezcal",5334.82,8032.26,251,188.25
2017-04-01,"tequila","mixto tequila",522512.83,758358.57,57749,49215.36
2017-04-01,"other","neutral grain spirits",23329.12,34916.79,2664,1998
2017-04-01,"other","neutral grain spirits flavored",10226.26,15339.39,895,671.25
2017-04-01,"whiskey","scotch whiskies",247232.56,372812.08,16388,18233.54
2017-04-01,"whiskey","single barrel bourbon whiskies",18271.63,27726.01,915,686.25
2017-04-01,"whiskey","single malt scotch",188820.73,279490.86,5908,4563.16
2017-04-01,"other","special order items",52709.07,79143.79,3652,3330.25
2017-04-01,"rum","spiced rum",1037267.81,1556162.47,102782,101264.37
2017-04-01,"whiskey","straight bourbon whiskies",778745.51,1159296.11,67329,59261.11
2017-04-01,"whiskey","straight rye whiskies",133983.86,201377.66,7483,5652
2017-04-01,"other","temporary & specialty packages",194265.87,298881.42,13806,12812.65
2017-04-01,"whiskey","tennessee whiskies",866761.9,1295105.7,53602,45037.37
2017-04-01,"other","triple sec",40353.58,60546.9,15032,14750
2017-04-01,"whiskey","whiskey liqueur",732638.89,1101324.38,73133,64952.43
2017-04-01,"rum","white rum",307490.55,461633.11,42826,45454.8
2017-04-01,"unknown",NA,28707.11,43528.2,1248,952.18
2017-05-01,"tequila","100% agave tequila",646534.17,959332.93,38315,28962.78
2017-05-01,"rum","aged dark rum",32244.12,47139.2,2688,2389.25
2017-05-01,"brandy","american brandies",296895.68,444086,68357,36649.82
2017-05-01,"liqueur","american cordials & liqueur",218857.99,328384.88,86573,24486.03
2017-05-01,"liqueur","american cordials & liqueurs",365.76,548.64,48,36
2017-05-01,"other","american distilled spirit specialty",14859.62,22277.88,1361,1017.39
2017-05-01,"other","american distilled spirits specialty",180,270,6,4.5
2017-05-01,"gin","american dry gins",200073.15,300232.24,40970,32955.06
2017-05-01,"vodka","american flavored vodka",544819.49,816494.73,75749,59077.33
2017-05-01,"schnapps","american schnapps",296729.69,442668.45,46560,41632.99
2017-05-01,"gin","american sloe gins",1907.84,2861.76,352,352
2017-05-01,"vodka","american vodka",1157.64,1610.64,144,108
2017-05-01,"vodka","american vodkas",2491066.93,3715039.06,432089,399552.78
2017-05-01,"whiskey","blended whiskies",489031,733826.36,76723,73426.87
2017-05-01,"whiskey","bottled in bond bourbon",5413.62,8025.84,506,385.5
2017-05-01,"whiskey","canadian whiskies",2668896.45,3982439.35,275102,309946.4
2017-05-01,"cocktail","cocktails / rtd",292.08,438.24,24,24
2017-05-01,"cocktail","cocktails /rtd",309958.37,466560.87,41600,64129.19
2017-05-01,"liqueur","coffee liqueurs",81933.55,121280.39,7293,6167.49
2017-05-01,"whiskey","corn whiskies",13956.72,21894.75,1140,855
2017-05-01,"liqueur","cream liqueurs",256598.51,381829.71,21429,19260.29
2017-05-01,"gin","flavored gin",6269.81,9409.06,905,678.75
2017-05-01,"rum","flavored rum",422377.01,634766.88,47241,42478.7
2017-05-01,"rum","gold rum",79839.52,120073.82,9439,10866.74
2017-05-01,"brandy","imported brandies",638137.64,930941.45,54600,22333.27
2017-05-01,"liqueur","imported cordials & liqueur",326.1,489.18,18,13.5
2017-05-01,"liqueur","imported cordials & liqueurs",485137.72,719101.03,34667,26703.01
2017-05-01,"other","imported distilled spirit specialty",74161.1,108788.87,14937,14868.25
2017-05-01,"other","imported distilled spirits specialty",208.08,312.12,12,9
2017-05-01,"gin","imported dry gins",305090.34,457779.46,19154,18817.98
2017-05-01,"vodka","imported flavored vodka",385246.62,591304.19,33933,24627.38
2017-05-01,"schnapps","imported schnapps",281011.84,420884.96,24225,22282.51
2017-05-01,"vodka","imported vodka",37532.16,56298.24,2592,4536
2017-05-01,"vodka","imported vodkas",998761.52,1509370.61,77555,82389.09
2017-05-01,"other","iowa distilleries",11880,17822.6,522,391.5
2017-05-01,"whiskey","irish whiskies",300597.88,441832.85,17077,14958.43
2017-05-01,"other","mezcal",6014.9,9136.35,354,265.5
2017-05-01,"tequila","mixto tequila",539668.18,774942.07,60893,52179.01
2017-05-01,"other","neutral grain spirits",23260.64,34826.74,2637,1977.75
2017-05-01,"other","neutral grain spirits flavored",12194.9,18275.1,1071,803.25
2017-05-01,"whiskey","scotch whiskies",327083.6,491954.22,20976,24405.73
2017-05-01,"whiskey","single barrel bourbon whiskies",22010.77,32756.89,1149,861.75
2017-05-01,"whiskey","single malt scotch",174297.12,257545.05,5798,4503.85
2017-05-01,"other","special order items",142073.29,211335.66,11996,16705.8
2017-05-01,"rum","spiced rum",1371324.97,2056626.16,131400,132155.42
2017-05-01,"whiskey","straight bourbon whiskies",1045894.04,1559591.77,87287,78549.12
2017-05-01,"whiskey","straight rye whiskies",107019.86,159334.91,6000,4583.5
2017-05-01,"other","temporary & specialty packages",235947.85,359851.45,18610,17931.75
2017-05-01,"whiskey","tennessee whiskies",553859.54,830749.3,40138,28330.26
2017-05-01,"other","triple sec",55819.53,83765.15,20791,20333.75
2017-05-01,"whiskey","whiskey liqueur",843788.84,1269389.88,87124,74522.48
2017-05-01,"rum","white rum",404596.28,606847.83,52656,57837.08
2017-05-01,"unknown",NA,40213.63,60557.65,2245,2133.22
2017-06-01,"tequila","100% agave tequila",597902.81,885255.57,35433,25657.28
2017-06-01,"rum","aged dark rum",42907.01,63109.94,3706,3546.25
2017-06-01,"brandy","american brandies",280921.2,419781.71,63186,34764.42
2017-06-01,"liqueur","american cordials & liqueur",250375.59,374735.24,102423,27586.71
2017-06-01,"liqueur","american cordials & liqueurs",1184.74,1777.34,142,105
2017-06-01,"other","american distilled spirit specialty",8840.28,13482.79,920,682.88
2017-06-01,"other","american distilled spirits specialty",335.76,503.76,30,22.5
2017-06-01,"gin","american dry gins",236912.75,355526.17,44828,38650.61
2017-06-01,"vodka","american flavored vodka",661030.53,988306.57,98307,72652.5
2017-06-01,"schnapps","american schnapps",298412,445367.47,45845,41533.56
2017-06-01,"gin","american sloe gins",1317.06,1975.59,243,243
2017-06-01,"vodka","american vodka",386.28,579.6,36,27
2017-06-01,"vodka","american vodkas",2939891,4381587.27,484200,463232.94
2017-06-01,"whiskey","blended whiskies",464459.34,697901.74,75560,71066.18
2017-06-01,"whiskey","bottled in bond bourbon",4508.94,6677.94,404,303
2017-06-01,"whiskey","canadian whiskies",1862637.28,2767095.61,201553,194946.82
2017-06-01,"cocktail","cocktails / rtd",292.08,438.24,24,24
2017-06-01,"cocktail","cocktails /rtd",490455.94,730593.36,65412,105176.97
2017-06-01,"liqueur","coffee liqueurs",91498.56,135975.73,7956,6984.89
2017-06-01,"whiskey","corn whiskies",8465.1,13106.13,696,522
2017-06-01,"liqueur","cream liqueurs",247764.32,368198.22,20517,16915.65
2017-06-01,"gin","flavored gin",6750.76,10131.26,1030,772.5
2017-06-01,"rum","flavored rum",485587.39,729894.39,54934,50254.47
2017-06-01,"rum","gold rum",87098.45,130648.24,9936,11435.92
2017-06-01,"brandy","imported brandies",538701.79,787352.14,45497,18807.44
2017-06-01,"liqueur","imported cordials & liqueur",66,99,6,4.5
2017-06-01,"liqueur","imported cordials & liqueurs",510379.44,758321.76,36014,27807.27
2017-06-01,"other","imported distilled spirit specialty",76502.49,111832.99,15365,15291.37
2017-06-01,"other","imported distilled spirits specialty",187.86,236.64,6,4.5
2017-06-01,"gin","imported dry gins",319324.37,478953.66,19988,19823.83
2017-06-01,"vodka","imported flavored vodka",422222.11,646756.54,36976,27848.23
2017-06-01,"schnapps","imported schnapps",290012.21,434343.18,24796,22869.48
2017-06-01,"vodka","imported vodka",119.52,179.28,12,9
2017-06-01,"vodka","imported vodkas",1179424.23,1783028.3,88361,90545.73
2017-06-01,"other","iowa distilleries",17001,25675.89,748,561
2017-06-01,"whiskey","irish whiskies",321650.59,473617.79,18585,16099.24
2017-06-01,"other","mezcal",6016.18,9024.27,348,261
2017-06-01,"tequila","mixto tequila",540491.57,777712.86,59588,52131.04
2017-06-01,"other","neutral grain spirits",34711.9,51991.95,3918,2938.5
2017-06-01,"other","neutral grain spirits flavored",10348.28,15522.42,908,681
2017-06-01,"whiskey","scotch whiskies",316236.74,477206.28,20421,23213.59
2017-06-01,"whiskey","single barrel bourbon whiskies",20466.24,31021.5,1025,770.05
2017-06-01,"whiskey","single malt scotch",202232.85,300486.28,6464,4991.17
2017-06-01,"other","special order items",78093.79,116635.81,5302,5539.2
2017-06-01,"rum","spiced rum",1163601.77,1745478.85,118416,113699.45
2017-06-01,"whiskey","straight bourbon whiskies",1144255.02,1705287.44,91915,84249.97
2017-06-01,"whiskey","straight rye whiskies",155489.28,233211.17,8691,6591
2017-06-01,"other","temporary & specialty packages",140917.19,215830.39,12289,9537.1
2017-06-01,"whiskey","tennessee whiskies",673918.15,1010558.82,45302,34493.12
2017-06-01,"other","triple sec",50322.69,75517.8,18925,18536.25
2017-06-01,"whiskey","whiskey liqueur",906205.21,1362139.45,92370,80045.07
2017-06-01,"rum","white rum",517156.73,775447.46,63024,70766.94
2017-06-01,"unknown",NA,27976.48,43071.1,1739,991.58
2017-07-01,"tequila","100% agave tequila",545356.18,804863.48,32377,23211.43
2017-07-01,"rum","aged dark rum",31826.8,46087.83,2847,2637.5
2017-07-01,"brandy","american brandies",244092.87,365367.05,57868,30036.68
2017-07-01,"liqueur","american cordials & liqueur",203382.08,305955.77,83085,23310.33
2017-07-01,"liqueur","american cordials & liqueurs",705.66,1058.82,90,65.25
2017-07-01,"other","american distilled spirit specialty",9009.18,13844.05,894,667.5
2017-07-01,"other","american distilled spirits specialty",162,243,6,4.5
2017-07-01,"gin","american dry gins",195730.29,293883.23,38899,31466.26
2017-07-01,"vodka","american flavored vodka",539858.62,808257.15,78831,60205.51
2017-07-01,"schnapps","american schnapps",279296.16,416898.38,43954,39125.75
2017-07-01,"gin","american sloe gins",2574.5,3861.75,475,475
2017-07-01,"vodka","american vodka",216,324,12,9
2017-07-01,"vodka","american vodkas",2598633.54,3869989.41,429405,401232.82
2017-07-01,"whiskey","blended whiskies",387442.31,581635.3,65269,58249.39
2017-07-01,"whiskey","bottled in bond bourbon",3623.94,5368.68,333,249.75
2017-07-01,"whiskey","canadian whiskies",2063361.68,3077430.36,216324,233954.03
2017-07-01,"cocktail","cocktails / rtd",208.44,312.72,12,9
2017-07-01,"cocktail","cocktails /rtd",345769.22,516250.25,47069,73689.45
2017-07-01,"liqueur","coffee liqueurs",70266.32,104381.17,6135,5248.76
2017-07-01,"whiskey","corn whiskies",10358.19,15814.01,851,638.25
2017-07-01,"liqueur","cream liqueurs",230340.08,344014.84,18996,16568.73
2017-07-01,"gin","flavored gin",8943.59,13420.59,1166,874.5
2017-07-01,"rum","flavored rum",438377.7,658882.35,50732,44560.2
2017-07-01,"rum","gold rum",60823.14,91548.59,7791,8663.33
2017-07-01,"brandy","imported brandies",486589.2,710144.61,42624,16783.99
2017-07-01,"liqueur","imported cordials & liqueur",1127.2,1855.86,73,54.37
2017-07-01,"liqueur","imported cordials & liqueurs",412794.16,613096.11,29591,22660.33
2017-07-01,"other","imported distilled spirit specialty",61811.32,91017.91,12465,12385.1
2017-07-01,"other","imported distilled spirits specialty",187.86,236.64,6,4.5
2017-07-01,"gin","imported dry gins",296288.78,444862.48,18560,18361.18
2017-07-01,"vodka","imported flavored vodka",357961.22,547883,31613,23611.34
2017-07-01,"schnapps","imported schnapps",265258.06,397330.84,23182,21522.06
2017-07-01,"vodka","imported vodka",45872.64,68808.96,3168,5544
2017-07-01,"vodka","imported vodkas",944585.83,1426259.06,82237,71168.16
2017-07-01,"other","iowa distilleries",10148.75,15532.52,446,334.5
2017-07-01,"whiskey","irish whiskies",272273.75,399966.21,15554,13397.98
2017-07-01,"other","mezcal",4527.72,6791.58,264,198
2017-07-01,"tequila","mixto tequila",497875.65,720041.86,54683,47099.9
2017-07-01,"other","neutral grain spirits",24667.48,36941.63,2786,2089.5
2017-07-01,"other","neutral grain spirits flavored",11909.6,17829.9,1041,780.75
2017-07-01,"whiskey","scotch whiskies",229283.09,345715.13,15720,18028.02
2017-07-01,"whiskey","single barrel bourbon whiskies",14913.4,22325.51,780,589.5
2017-07-01,"whiskey","single malt scotch",142256.17,209456.83,4727,3668.26
2017-07-01,"other","special order items",59378.76,88797.92,5086,6255.95
2017-07-01,"rum","spiced rum",1255023.14,1882605.14,117940,120895.84
2017-07-01,"whiskey","straight bourbon whiskies",823570.58,1225692.33,69219,61321.11
2017-07-01,"whiskey","straight rye whiskies",89828.82,134990.73,5211,3961.5
2017-07-01,"other","temporary & specialty packages",85387.72,128703.41,6460,5100.4
2017-07-01,"whiskey","tennessee whiskies",661486.72,991279.4,44646,33985.78
2017-07-01,"other","triple sec",43918.92,65906.32,16274,15902.25
2017-07-01,"whiskey","whiskey liqueur",792890.56,1192162.37,79875,70446.31
2017-07-01,"rum","white rum",355700.09,533675.66,49227,51010.05
2017-07-01,"unknown",NA,22424.36,34172.23,2363,897.23
2017-08-01,"tequila","100% agave tequila",644947.99,952634.55,37719,27476.37
2017-08-01,"rum","aged dark rum",30817.26,44829.46,2738,2431.25
2017-08-01,"brandy","american brandies",359332.43,538466.75,92821,43238.2
2017-08-01,"liqueur","american cordials & liqueur",227412.53,341687.64,101132,25842.6
2017-08-01,"liqueur","american cordials & liqueurs",103.92,155.88,12,9
2017-08-01,"other","american distilled spirit specialty",12793.84,19167.85,1280,957.38
2017-08-01,"other","american distilled spirits specialty",53.76,80.64,12,9
2017-08-01,"gin","american dry gins",226805.51,339991.29,46352,36849.09
2017-08-01,"vodka","american flavored vodka",620208.06,927816.13,94153,68629.14
2017-08-01,"schnapps","american schnapps",299864.07,449841.56,47082,42085.44
2017-08-01,"gin","american sloe gins",1485.08,2227.62,274,274
2017-08-01,"vodka","american vodka",58.76,170.64,13,9.75
2017-08-01,"vodka","american vodkas",2775880.69,4139250.24,488288,453006.59
2017-08-01,"whiskey","blended whiskies",509685.36,764386.47,79822,76999.64
2017-08-01,"whiskey","bottled in bond bourbon",5585.04,8281.98,496,402
2017-08-01,"whiskey","canadian whiskies",1829023.53,2739844.24,202991,191987.06
2017-08-01,"cocktail","cocktails /rtd",299599.61,449848.23,40761,63212.92
2017-08-01,"liqueur","coffee liqueurs",87715.21,129876.91,7732,6460.46
2017-08-01,"whiskey","corn whiskies",6253.05,9781.07,477,357.75
2017-08-01,"liqueur","cream liqueurs",245499.92,363823.56,20969,17440.5
2017-08-01,"gin","flavored gin",6656.91,9989.7,923,686.65
2017-08-01,"rum","flavored rum",469057.41,704674.6,53357,47500.78
2017-08-01,"rum","gold rum",70421.72,105595.49,9353,10043.65
2017-08-01,"brandy","imported brandies",570878.12,832790.51,50038,19989.83
2017-08-01,"liqueur","imported cordials & liqueur",494.76,942,36,20.8
2017-08-01,"liqueur","imported cordials & liqueurs",509860.47,754407.42,36378,28564.23
2017-08-01,"other","imported distilled spirit specialty",71051.92,104680.64,14486,14374.65
2017-08-01,"other","imported distilled spirits specialty",13.53,0,3,3
2017-08-01,"gin","imported dry gins",262519.15,394000.4,16831,16134.63
2017-08-01,"vodka","imported flavored vodka",483028.39,738260.09,46278,34477.87
2017-08-01,"schnapps","imported schnapps",284376.06,426125.58,24848,22810.03
2017-08-01,"vodka","imported vodkas",1139470.85,1719968.77,91358,92578.11
2017-08-01,"other","iowa distilleries",15070.5,22574.65,658,493.5
2017-08-01,"whiskey","irish whiskies",346081.02,509328.35,19822,17358.76
2017-08-01,"other","mezcal",4457.88,6686.82,285,213.75
2017-08-01,"tequila","mixto tequila",506232.83,730092.22,57933,48811.05
2017-08-01,"other","neutral grain spirits",36762.78,55052.89,4152,3114
2017-08-01,"other","neutral grain spirits flavored",12077.7,18116.55,1057,792.75
2017-08-01,"whiskey","scotch whiskies",265982.23,400085.35,18869,21168.46
2017-08-01,"whiskey","single barrel bourbon whiskies",22016.47,33517.67,1116,837
2017-08-01,"whiskey","single malt scotch",168033.99,249749.54,5661,4378.8
2017-08-01,"other","special order items",133685.61,200312.6,12509,17805.88
2017-08-01,"rum","spiced rum",1136675.28,1702315.44,117588,111915.6
2017-08-01,"whiskey","straight bourbon whiskies",1054406.93,1571019.35,90129,80232.71
2017-08-01,"whiskey","straight rye whiskies",122494.51,183467.94,6919,5290.25
2017-08-01,"other","temporary & specialty packages",52427.62,78910.78,4304,3757.03
2017-08-01,"whiskey","tennessee whiskies",790878.49,1185658.62,51834,40681.79
2017-08-01,"other","triple sec",46878.53,70328.84,17483,17139
2017-08-01,"whiskey","whiskey liqueur",926453.81,1391830.38,93252,82375.08
2017-08-01,"rum","white rum",397494.02,596333.29,54146,57772.36
2017-08-01,"unknown",NA,25331.8,38201.93,2211,1168.7
2017-09-01,"tequila","100% agave tequila",484477.05,721699.34,27980,19768.99
2017-09-01,"rum","aged dark rum",26621.1,39651.94,2300,2135.5
2017-09-01,"brandy","american brandies",264610.77,397077.17,61357,32247.52
2017-09-01,"liqueur","american cordials & liqueur",179537.49,269691.26,83235,20279.82
2017-09-01,"liqueur","american cordials & liqueurs",673.68,1010.88,96,72
2017-09-01,"other","american distilled spirit specialty",14240.34,21901.56,1720,1103.26
2017-09-01,"other","american distilled spirits specialty",342,513,12,9
2017-09-01,"gin","american dry gins",162493.2,244009.35,33696,26807.24
2017-09-01,"vodka","american flavored vodka",472209.73,708500.26,68655,52441.17
2017-09-01,"schnapps","american schnapps",241561.73,362672.13,38109,33890.66
2017-09-01,"gin","american sloe gins",1420.04,2130.06,262,262
2017-09-01,"vodka","american vodka",115.8,173.76,12,9
2017-09-01,"vodka","american vodkas",2614934.75,3901237.16,410942,395666.56
2017-09-01,"whiskey","blended whiskies",382015.75,573607.43,63629,56936.96
2017-09-01,"whiskey","bottled in bond bourbon",4262.94,6319.2,397,297.75
2017-09-01,"whiskey","canadian whiskies",2242476.72,3361920.69,223897,235003.41
2017-09-01,"cocktail","cocktails /rtd",205814.89,310572.62,28040,42666.49
2017-09-01,"liqueur","coffee liqueurs",88780.97,131449.48,7511,6473
2017-09-01,"whiskey","corn whiskies",5564.63,8553.03,438,328.5
2017-09-01,"liqueur","cream liqueurs",263714.78,393181.3,22255,20024.29
2017-09-01,"gin","flavored gin",5736.97,8609.72,865,648.75
